"","X.3","X.2","X","ID.x","Site.ID","Original.Genus","Original.Species","ACCEPTED.GENUS","ACCEPTED.SPECIES","SPECIES.ID","SAMPLE.ID","ID.y","Average.LA..m2.","SLA..m2.kg.","LMA..kg.m2.","LDMC..mg.g.","Cmass..g.kg.","Nmass..g.kg.","Pmass..g.kg.","Kmass..g.kg.","Narea..g.m2.","Parea..g.m2.","Karea..g.m2.","d13C.12C","d15N.14N","Site.Name","Latitude","Longitude","Elevation","Collection.month","Collection.year","Source","Sampling.strategy","References","Site.ID.1","Lat_grid","Lon_grid","Temp.Jan..C.","Temp.Feb...C.","Temp.Mar...C.","Temp.April...C.","Temp.May...C.","Temp.June...C.","Temp.July...C.","Temp.Aug...C.","Temp.Sept...C.","Temp.Oct...C.","Temp.Nov...C.","Temp.Dec...C.","Prec.Jan..mm.","Prec.Feb..mm.","Prec.Mar..mm.","Prec.Apr..mm.","Prec.May..mm.","Prec.June...mm.","Prec.July...mm.","Prec.Aug...mm.","Prec.Sept...mm.","Prec.Oct...mm.","Prec.Nov..mm.","Prec.Dec...mm.","Sun.Jan....","Sun.Feb....","Sun.Mar....","Sun.Apr....","Sun.May....","Sun.June....","Sun.July....","Sun.Aug....","Sun.Sep....","Sun.Oct....","Sun.Nov....","Sun.Dec....","MTCO...C.","MAT...C.","MI..unitless.","alpha..unitless.","GDD0..C.days.","mGDD0...C.","PAR0..mol.photon.m.2.","mPAR0..mol.photon.m.2.","Prec.Timing..month.from.Jan1st.","Prec.Seasonality..unitless.","MMP..mm.","MAP..mm.","tg_1987_2006","vpd_1987_2006","fapar_1987_2006","ppfd_1987_2006","sm_1987_2006","pet","AI","pr_mean_1987_2006","pr_annual_mm","RZwc","Sand","pH","life.form","species","X.1","Site","sum_AGB","AGB_g.m.2","AGB_gC.m.2","AGB_MgC.ha","BGB.herb_g.m.2","BGBherb_gC.m.2","BGB.tree_g.m.2","BGB.tree_gC.m.2","BGB_gC.m.2","BGB_MgC.ha","Totalherb._gDM.m3","Total.herb_gC.m3","total.biomass_g.m.2","total.biomass_gC.m.2","total.biomass_MgC.ha","R_S","GPP","prelnR_S","preR_S","preRMF","prebelow","Tmean","sitegroup","heightT","lnheightT","SLA","lnSLA","SRL","lnSRL","RRD","lnRRD","thickness","lnthickness","LDMC","lnLDMC","pred_lnRSnew","pred_RS_new","mean_pretreebiomass_gCm2","pre_totalbiomass","preRMF_new","prebelow_new","preAGB_new"
"1",1,1,1,1,1,"Allium","senescens","Allium","senescens","SP81",1,1,0.0002001,13.71253289,0.073482348,353.7245407,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NECTS01",42.87513333,118.48335,1024,8,2006,"Authors","SS","Prentice et al. (2011); Meng et al. (2015)",1,42.875,118.485,-13.33,-10.6,-3.37,6.42,13.64,18.3,20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,88.61,41.69,13.6,7.9,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751,6.58246,0.694881,33.198,398.38,8.59266831226452,593.330993400017,0.201653104684208,32.2621386559488,0.542611058333333,1053.77155868348,2.64514172067745,34.6178022997678,415.413627597214,79.9599636654975,44.68,8.3,"geophyte","non-woody",1,1,38300,383,180.01,1.8001,4.388,2.06236,0,0,2.06236,0.0206236,3491.86,1587.21,387.388,182.07236,1.8207236,0.0114569190600522,0.960352280741785,-4.68562852159751,0.00922693346238868,0.00914257552633235,1.66461030255757,5.80026913935941,"grasssite",0.683600008487701,-0.38038231532452,16.524426927564,2.80483970601774,2321.09419636391,7.74979398983864,0.536703118207662,-0.622310189852263,0.200943883356126,-1.60472959718604,0.10952634094111,-2.21159020211485,-4.48434650773781,0.011284259287911,NA,182.07236,0.0111583456226805,2.03162632121711,180.040733678783
"2",2,1.1,2,2,1,"Artemisia","frigida","Artemisia","frigida","SP142",2,2,1.0005e-05,24.32377913,0.041210573,457.2959701,544.229,20.31643956,1.407591284,16.52297676,0.835250125,0.057868939,0.679293159,-27.604,-2.863,"NECTS01",42.87513333,118.48335,1024,8,2006,"Authors","SS","Prentice et al. (2011); Meng et al. (2015)",1,42.875,118.485,-13.33,-10.6,-3.37,6.42,13.64,18.3,20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,88.61,41.69,13.6,7.9,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751,6.58246,0.694881,33.198,398.38,8.59266831226452,593.330993400017,0.201653104684208,32.2621386559488,0.531423908333333,1052.91633547237,2.64299496830254,34.6178022997678,415.413627597214,79.9599636654975,44.68,8.3,"erect dwarf shrub","woody",1,1,38300,383,180.01,1.8001,4.388,2.06236,0,0,2.06236,0.0206236,3491.86,1587.21,387.388,182.07236,1.8207236,0.0114569190600522,0.959346111732292,-4.66728855632995,0.00939771639116814,0.00931022156932073,1.69513401324913,5.80026913935941,"grasssite",0.683600008487701,-0.38038231532452,16.524426927564,2.80483970601774,2321.09419636391,7.74979398983864,0.536703118207662,-0.622310189852263,0.200943883356126,-1.60472959718604,0.10952634094111,-2.21159020211485,-4.57871513404527,0.0102680809319554,NA,182.07236,0.0101637190422598,1.85053231240118,180.221827687599
"3",3,1.2,3,3,1,"Artemisia","sacrorum","Artemisia","gmelinii","SP144",3,3,5.336e-06,21.94604946,0.045805735,336.3853875,459.178,21.10508333,1.602951329,18.16781106,0.961680296,0.073040541,0.827839703,-26.892,-3.057,"NECTS01",42.87513333,118.48335,1024,8,2006,"Authors","SS","Prentice et al. (2011); Meng et al. (2015)",1,42.875,118.485,-13.33,-10.6,-3.37,6.42,13.64,18.3,20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,88.61,41.69,13.6,7.9,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751,6.58246,0.694881,33.198,398.38,8.59266831226452,593.330993400017,0.201653104684208,32.2621386559488,0.537834383333333,1053.61088107066,2.64473839316899,34.6178022997678,415.413627597214,79.9599636654975,44.68,8.3,"erect dwarf shrub","woody",1,1,38300,383,180.01,1.8001,4.388,2.06236,0,0,2.06236,0.0206236,3491.86,1587.21,387.388,182.07236,1.8207236,0.0114569190600522,0.95994453136843,-4.66870047276123,0.00938445696378341,0.00929720771806983,1.69276455063919,5.80026913935941,"grasssite",0.683600008487701,-0.38038231532452,16.524426927564,2.80483970601774,2321.09419636391,7.74979398983864,0.536703118207662,-0.622310189852263,0.200943883356126,-1.60472959718604,0.10952634094111,-2.21159020211485,-4.58190033134872,0.0102354271003149,NA,182.07236,0.0101317245720572,1.84470700370444,180.227652996296
"4",4,1.3,4,4,1,"Artemisia","sacrorum var glauca","Artemisia","gmelinii","SP144",4,4,5.336e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NECTS01",42.87513333,118.48335,1024,8,2006,"Authors","SS","Prentice et al. (2011); Meng et al. (2015)",1,42.875,118.485,-13.33,-10.6,-3.37,6.42,13.64,18.3,20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,88.61,41.69,13.6,7.9,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751,6.58246,0.694881,33.198,398.38,8.59266831226452,593.330993400017,0.201653104684208,32.2621386559488,0.542460541666667,1054.09334300951,2.64594945280765,34.6178022997678,415.413627597214,79.9599636654975,44.68,8.3,"erect dwarf shrub","woody",1,1,38300,383,180.01,1.8001,4.388,2.06236,0,0,2.06236,0.0206236,3491.86,1587.21,387.388,182.07236,1.8207236,0.0114569190600522,0.960339929420408,-4.66965948367991,0.00937546148116165,0.00928837864495344,1.69115702046028,5.80026913935941,"grasssite",0.683600008487701,-0.38038231532452,16.524426927564,2.80483970601774,2321.09419636391,7.74979398983864,0.536703118207662,-0.622310189852263,0.200943883356126,-1.60472959718604,0.10952634094111,-2.21159020211485,-4.58407642519398,0.0102131780671702,NA,182.07236,0.010109923617024,1.8407376523713,180.231622347629
"5",5,1.4,5,5,1,"Astragalus","galactites","Astragalus","galactites","SP176",5,5,0.00010672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NECTS01",42.87513333,118.48335,1024,8,2006,"Authors","SS","Prentice et al. (2011); Meng et al. (2015)",1,42.875,118.485,-13.33,-10.6,-3.37,6.42,13.64,18.3,20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,88.61,41.69,13.6,7.9,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751,6.58246,0.694881,33.198,398.38,8.59266831226452,593.330993400017,0.201653104684208,32.2621386559488,0.535826116666667,1053.43965215895,2.64430858014697,34.6178022997678,415.413627597214,79.9599636654975,44.68,8.3,"forb","non-woody",1,1,38300,383,180.01,1.8001,4.388,2.06236,0,0,2.06236,0.0206236,3491.86,1587.21,387.388,182.07236,1.8207236,0.0114569190600522,0.959763371497241,-4.68463693242126,0.00923608732742668,0.00915156269519147,1.66624661760147,5.80026913935941,"grasssite",0.683600008487701,-0.38038231532452,16.524426927564,2.80483970601774,2321.09419636391,7.74979398983864,0.536703118207662,-0.622310189852263,0.200943883356126,-1.60472959718604,0.10952634094111,-2.21159020211485,-4.48495480909963,0.0112773971449561,NA,182.07236,0.0111516357201243,2.03040463342334,180.041955366577
"6",6,1.5,6,6,1,"Astragalus","scaberrimus","Astragalus","scaberrimus","SP182",6,6,6.67e-05,12.14942143,0.08294345,344.2806172,332.739,25.87346995,1.266566969,9.72570921,2.129605109,0.104249159,0.800508013,-25.749,-2.167,"NECTS01",42.87513333,118.48335,1024,8,2006,"Authors","SS","Prentice et al. (2011); Meng et al. (2015)",1,42.875,118.485,-13.33,-10.6,-3.37,6.42,13.64,18.3,20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,88.61,41.69,13.6,7.9,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751,6.58246,0.694881,33.198,398.38,8.59266831226452,593.330993400017,0.201653104684208,32.2621386559488,0.540047383333333,1053.97772022103,2.64565922039518,34.6178022997678,415.413627597214,79.9599636654975,44.68,8.3,"forb","non-woody",1,1,38300,383,180.01,1.8001,4.388,2.06236,0,0,2.06236,0.0206236,3491.86,1587.21,387.388,182.07236,1.8207236,0.0114569190600522,0.960137489638219,-4.68563666055693,0.00922685836505734,0.00914250179588443,1.66459687828092,5.80026913935941,"grasssite",0.683600008487701,-0.38038231532452,16.524426927564,2.80483970601774,2321.09419636391,7.74979398983864,0.536703118207662,-0.622310189852263,0.200943883356126,-1.60472959718604,0.10952634094111,-2.21159020211485,-4.48451706246239,0.0112823348682902,NA,182.07236,0.0111564639065505,2.03128371272046,180.04107628728
"7",7,1.6,7,7,1,"Cleistogenes","squarrosa","Cleistogenes","squarrosa","SP338",7,7,0.0006003,18.59326874,0.05596479,518.2652321,480.821,16.69590917,1.199629958,10.24743662,0.897954491,0.064519584,0.551136907,-14.179,-2.518,"NECTS01",42.87513333,118.48335,1024,8,2006,"Authors","SS","Prentice et al. (2011); Meng et al. (2015)",1,42.875,118.485,-13.33,-10.6,-3.37,6.42,13.64,18.3,20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,88.61,41.69,13.6,7.9,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751,6.58246,0.694881,33.198,398.38,8.59266831226452,593.330993400017,0.201653104684208,32.2621386559488,0.537092658333333,1053.50324198797,2.64446820118471,34.6178022997678,415.413627597214,79.9599636654975,44.68,8.3,"graminoid","non-woody",1,1,38300,383,180.01,1.8001,4.388,2.06236,0,0,2.06236,0.0206236,3491.86,1587.21,387.388,182.07236,1.8207236,0.0114569190600522,0.959878293277188,-4.68482914029434,0.00923431224932335,0.00914981995483531,1.66592931275196,5.80026913935941,"grasssite",0.683600008487701,-0.38038231532452,16.524426927564,2.80483970601774,2321.09419636391,7.74979398983864,0.536703118207662,-0.622310189852263,0.200943883356126,-1.60472959718604,0.10952634094111,-2.21159020211485,-4.48483625985247,0.0112787341511466,NA,182.07236,0.0111529430712431,2.03064266592689,180.041717334073
"8",8,1.7,8,8,1,"Euphorbia","esula","Euphorbia","esula","SP497",8,8,0.0005336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NECTS01",42.87513333,118.48335,1024,8,2006,"Authors","SS","Prentice et al. (2011); Meng et al. (2015)",1,42.875,118.485,-13.33,-10.6,-3.37,6.42,13.64,18.3,20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,88.61,41.69,13.6,7.9,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751,6.58246,0.694881,33.198,398.38,8.59266831226452,593.330993400017,0.201653104684208,32.2621386559488,0.542725016666667,1054.12364711301,2.64602552114316,34.6178022997678,415.413627597214,79.9599636654975,44.68,8.3,"forb","non-woody",1,1,38300,383,180.01,1.8001,4.388,2.06236,0,0,2.06236,0.0206236,3491.86,1587.21,387.388,182.07236,1.8207236,0.0114569190600522,0.960361610585358,-4.68603607938531,0.00922317372000681,0.0091388842033919,1.66393821467828,5.80026913935941,"grasssite",0.683600008487701,-0.38038231532452,16.524426927564,2.80483970601774,2321.09419636391,7.74979398983864,0.536703118207662,-0.622310189852263,0.200943883356126,-1.60472959718604,0.10952634094111,-2.21159020211485,-4.4842825397997,0.0112849811417983,NA,182.07236,0.0111590514565508,2.03175483405564,180.040605165944
"9",9,1.8,9,9,1,"Euphorbia","humifusa","Euphorbia","humifusa","SP498",9,9,8.004e-05,29.50434783,0.034199764,365.5359165,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NECTS01",42.87513333,118.48335,1024,8,2006,"Authors","SS","Prentice et al. (2011); Meng et al. (2015)",1,42.875,118.485,-13.33,-10.6,-3.37,6.42,13.64,18.3,20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,88.61,41.69,13.6,7.9,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751,6.58246,0.694881,33.198,398.38,8.59266831226452,593.330993400017,0.201653104684208,32.2621386559488,0.53801045,1053.5303078001,2.64453614087078,34.6178022997678,415.413627597214,79.9599636654975,44.68,8.3,"forb","non-woody",1,1,38300,383,180.01,1.8001,4.388,2.06236,0,0,2.06236,0.0206236,3491.86,1587.21,387.388,182.07236,1.8207236,0.0114569190600522,0.959960139230159,-4.68494542149606,0.00923323853482555,0.00914876579791415,1.66573737991351,5.80026913935941,"grasssite",0.683600008487701,-0.38038231532452,16.524426927564,2.80483970601774,2321.09419636391,7.74979398983864,0.536703118207662,-0.622310189852263,0.200943883356126,-1.60472959718604,0.10952634094111,-2.21159020211485,-4.48475469450829,0.0112796541424987,NA,182.07236,0.0111538426549905,2.03080645526279,180.041553544737
"10",10,1.9,10,10,1,"Lespedeza","davurica","Lespedeza","davurica","SP687",10,10,0.0001334,14.91169689,0.068036193,428.4143058,448.825,25.52372739,1.320636778,8.836580369,1.711658142,0.088563816,0.592593883,-26.96,-2.984,"NECTS01",42.87513333,118.48335,1024,8,2006,"Authors","SS","Prentice et al. (2011); Meng et al. (2015)",1,42.875,118.485,-13.33,-10.6,-3.37,6.42,13.64,18.3,20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,88.61,41.69,13.6,7.9,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751,6.58246,0.694881,33.198,398.38,8.59266831226452,593.330993400017,0.201653104684208,32.2621386559488,0.540824633333333,1053.86134892125,2.64536710909497,34.6178022997678,415.413627597214,79.9599636654975,44.68,8.3,"erect dwarf shrub","woody",1,1,38300,383,180.01,1.8001,4.388,2.06236,0,0,2.06236,0.0206236,3491.86,1587.21,387.388,182.07236,1.8207236,0.0114569190600522,0.960203600982819,-4.66925470310151,0.00937925725405859,0.0092921042181649,1.69183534436724,5.80026913935941,"grasssite",0.683600008487701,-0.38038231532452,16.524426927564,2.80483970601774,2321.09419636391,7.74979398983864,0.536703118207662,-0.622310189852263,0.200943883356126,-1.60472959718604,0.10952634094111,-2.21159020211485,-4.58312369805247,0.010222913075783,NA,182.07236,0.0101194626883464,1.84247445359917,180.229885546401
