"","ID.x","Site.ID","Original.Genus","Original.Species","ACCEPTED.GENUS","ACCEPTED.SPECIES","SPECIES.ID","SAMPLE.ID","ID.y","Average.LA..m2.","SLA..m2.kg.","LMA..kg.m2.","LDMC..mg.g.","Cmass..g.kg.","Nmass..g.kg.","Pmass..g.kg.","Kmass..g.kg.","Narea..g.m2.","Parea..g.m2.","Karea..g.m2.","d13C.12C","d15N.14N","Site.Name","Latitude","Longitude","Elevation","Collection.month","Collection.year","Source","Sampling.strategy","References","Site.ID.1","Lat_grid","Lon_grid","Temp.Jan..C.","Temp.Feb...C.","Temp.Mar...C.","Temp.April...C.","Temp.May...C.","Temp.June...C.","Temp.July...C.","Temp.Aug...C.","Temp.Sept...C.","Temp.Oct...C.","Temp.Nov...C.","Temp.Dec...C.","Prec.Jan..mm.","Prec.Feb..mm.","Prec.Mar..mm.","Prec.Apr..mm.","Prec.May..mm.","Prec.June...mm.","Prec.July...mm.","Prec.Aug...mm.","Prec.Sept...mm.","Prec.Oct...mm.","Prec.Nov..mm.","Prec.Dec...mm.","Sun.Jan....","Sun.Feb....","Sun.Mar....","Sun.Apr....","Sun.May....","Sun.June....","Sun.July....","Sun.Aug....","Sun.Sep....","Sun.Oct....","Sun.Nov....","Sun.Dec....","MTCO...C.","MAT...C.","MI..unitless.","alpha..unitless.","GDD0..C.days.","mGDD0...C.","PAR0..mol.photon.m.2.","mPAR0..mol.photon.m.2.","Prec.Timing..month.from.Jan1st.","Prec.Seasonality..unitless.","MMP..mm.","MAP..mm."
"1",1,1,"Allium","senescens","Allium","senescens","SP81",1,1,0.0002001,13.71253289,0.073482348,353.7245407,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NECTS01",42.87513333,118.48335,1024,8,2006,"Authors","SS","Prentice et al. (2011); Meng et al. (2015)",1,42.875,118.485,-13.33,-10.6,-3.37,6.42,13.64,18.3,20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,88.61,41.69,13.6,7.9,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751,6.58246,0.694881,33.198,398.38
"2",2,1,"Artemisia","frigida","Artemisia","frigida","SP142",2,2,1.0005e-05,24.32377913,0.041210573,457.2959701,544.229,20.31643956,1.407591284,16.52297676,0.835250125,0.057868939,0.679293159,-27.604,-2.863,"NECTS01",42.87513333,118.48335,1024,8,2006,"Authors","SS","Prentice et al. (2011); Meng et al. (2015)",1,42.875,118.485,-13.33,-10.6,-3.37,6.42,13.64,18.3,20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,88.61,41.69,13.6,7.9,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751,6.58246,0.694881,33.198,398.38
"3",3,1,"Artemisia","sacrorum","Artemisia","gmelinii","SP144",3,3,5.336e-06,21.94604946,0.045805735,336.3853875,459.178,21.10508333,1.602951329,18.16781106,0.961680296,0.073040541,0.827839703,-26.892,-3.057,"NECTS01",42.87513333,118.48335,1024,8,2006,"Authors","SS","Prentice et al. (2011); Meng et al. (2015)",1,42.875,118.485,-13.33,-10.6,-3.37,6.42,13.64,18.3,20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,88.61,41.69,13.6,7.9,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751,6.58246,0.694881,33.198,398.38
"4",4,1,"Artemisia","sacrorum var glauca","Artemisia","gmelinii","SP144",4,4,5.336e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NECTS01",42.87513333,118.48335,1024,8,2006,"Authors","SS","Prentice et al. (2011); Meng et al. (2015)",1,42.875,118.485,-13.33,-10.6,-3.37,6.42,13.64,18.3,20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,88.61,41.69,13.6,7.9,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751,6.58246,0.694881,33.198,398.38
"5",5,1,"Astragalus","galactites","Astragalus","galactites","SP176",5,5,0.00010672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NECTS01",42.87513333,118.48335,1024,8,2006,"Authors","SS","Prentice et al. (2011); Meng et al. (2015)",1,42.875,118.485,-13.33,-10.6,-3.37,6.42,13.64,18.3,20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,88.61,41.69,13.6,7.9,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751,6.58246,0.694881,33.198,398.38
"6",6,1,"Astragalus","scaberrimus","Astragalus","scaberrimus","SP182",6,6,6.67e-05,12.14942143,0.08294345,344.2806172,332.739,25.87346995,1.266566969,9.72570921,2.129605109,0.104249159,0.800508013,-25.749,-2.167,"NECTS01",42.87513333,118.48335,1024,8,2006,"Authors","SS","Prentice et al. (2011); Meng et al. (2015)",1,42.875,118.485,-13.33,-10.6,-3.37,6.42,13.64,18.3,20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,88.61,41.69,13.6,7.9,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751,6.58246,0.694881,33.198,398.38
"7",7,1,"Cleistogenes","squarrosa","Cleistogenes","squarrosa","SP338",7,7,0.0006003,18.59326874,0.05596479,518.2652321,480.821,16.69590917,1.199629958,10.24743662,0.897954491,0.064519584,0.551136907,-14.179,-2.518,"NECTS01",42.87513333,118.48335,1024,8,2006,"Authors","SS","Prentice et al. (2011); Meng et al. (2015)",1,42.875,118.485,-13.33,-10.6,-3.37,6.42,13.64,18.3,20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,88.61,41.69,13.6,7.9,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751,6.58246,0.694881,33.198,398.38
"8",8,1,"Euphorbia","esula","Euphorbia","esula","SP497",8,8,0.0005336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NECTS01",42.87513333,118.48335,1024,8,2006,"Authors","SS","Prentice et al. (2011); Meng et al. (2015)",1,42.875,118.485,-13.33,-10.6,-3.37,6.42,13.64,18.3,20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,88.61,41.69,13.6,7.9,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751,6.58246,0.694881,33.198,398.38
"9",9,1,"Euphorbia","humifusa","Euphorbia","humifusa","SP498",9,9,8.004e-05,29.50434783,0.034199764,365.5359165,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NECTS01",42.87513333,118.48335,1024,8,2006,"Authors","SS","Prentice et al. (2011); Meng et al. (2015)",1,42.875,118.485,-13.33,-10.6,-3.37,6.42,13.64,18.3,20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,88.61,41.69,13.6,7.9,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751,6.58246,0.694881,33.198,398.38
"10",10,1,"Lespedeza","davurica","Lespedeza","davurica","SP687",10,10,0.0001334,14.91169689,0.068036193,428.4143058,448.825,25.52372739,1.320636778,8.836580369,1.711658142,0.088563816,0.592593883,-26.96,-2.984,"NECTS01",42.87513333,118.48335,1024,8,2006,"Authors","SS","Prentice et al. (2011); Meng et al. (2015)",1,42.875,118.485,-13.33,-10.6,-3.37,6.42,13.64,18.3,20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,88.61,41.69,13.6,7.9,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751,6.58246,0.694881,33.198,398.38
"11",11,1,"Leymus","chinensis","Leymus","chinensis","SP692",11,11,0.0016675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NECTS01",42.87513333,118.48335,1024,8,2006,"Authors","SS","Prentice et al. (2011); Meng et al. (2015)",1,42.875,118.485,-13.33,-10.6,-3.37,6.42,13.64,18.3,20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,88.61,41.69,13.6,7.9,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751,6.58246,0.694881,33.198,398.38
